Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Baden-Württem­berg,38.270,+108,522,"4,7",1.859,,,,,,,,,,,,,,
Bayern,52.645,+209,861,"6,6",2.631,,,,,,,,,,,,,,
Berlin,9.976,0*,383,"10,2",224,,,,,,,,,,,,,,
Branden­burg,3.683,+32,61,"2,4",169,,,,,,,,,,,,,,
Bremen,1.828,+6,30,"4,4",56,,,,,,,,,,,,,,
Hamburg,5.821,+47,176,"9,6",264,,,,,,,,,,,,,,
Hessen,13.187,+179,653,"10,4",526,,,,,,,,,,,,,,
"Meck­lenburg-
Vor­pommern",959,+5,33,"2,1",20,,,,,,,,,,,,,,
Nieder­sachsen,15.318,+142,424,"5,3",656,,,,,,,,,,,,,,
Nord­rhein-West­falen,53.661,+538,2.571,"14,3",1.772,,,,,,,,,,,,,,
Rhein­land-Pfalz,8.059,+85,343,"8,4",241,,,,,,,,,,,,,,
Saarland,2.976,+21,57,"5,8",174,,,,,,,,,,,,,,
Sachsen,5.705,+20,72,"1,8",225,,,,,,,,,,,,,,
Sachsen-Anhalt,2.099,+9,47,"2,1",64,,,,,,,,,,,,,,
Schles­wig-Holstein,3.744,+30,173,"6,0",158,,,,,,,,,,,,,,
Thüringen,3.482,+18,66,"3,1",186,,,,,,,,,,,,,,
Gesamt,221.413,+1.449,6.472,"7,8",9.225,,,,,,,,,,,,,,